날짜,PM10,PM25,풍속(m/s),풍향(16방위),습도(%),증기압(hPa),이슬점온도(°C),현지기압(hPa),해면기압(hPa),최저운고(100m ),시정(10m),지면온도(°C),5cm 지중온도(°C),10cm 지중온도(°C),20cm 지중온도(°C),30cm 지중온도(°C),체감온도,기압차,풍압,판매량_어제,판매량_7일평균,요일_1,요일_2,요일_3,요일_4,요일_5,요일_6,월_2,월_3,월_4,월_5,월_6,월_7,월_8,월_9,월_10,월_11,월_12,Sales Amt
2018-01-06,52.668458781362006,35.347258485639685,1.4791666666666667,292.0833333333333,45.666666666666664,2.183333333333333,-13.383333333333333,1012.6416666666668,1023.6291666666666,17.78829122232438,1561.8333333333333,-2.975,-1.1583333333333334,-0.46249999999999997,0.5208333333333334,1.2249999999999999,-2.4195833333333328,10.98749999999984,432.03993055555554,5746348.0,7108624.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,15.84286836135913
2018-01-07,60.24763935424916,43.67903596021423,0.8125,111.66666666666667,43.083333333333336,2.35,-12.479166666666666,1011.4625,1022.3833333333333,32.07692307692308,1451.875,-2.2375000000000003,-1.075,-0.49583333333333335,0.4375,1.1624999999999999,-0.48458333333333314,10.920833333333348,90.72916666666667,7593994.0,6503546.857142857,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,15.801695671946433
2018-01-08,59.16906144909814,41.970776621297034,1.75,241.66666666666666,49.333333333333336,3.3041666666666667,-8.6,1001.2958333333332,1011.9958333333334,18.166666666666668,1148.9583333333333,0.1375,0.07083333333333335,-0.016666666666666666,0.48333333333333334,1.125,1.6758333333333335,10.70000000000016,422.91666666666663,7287678.0,6223261.142857143,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,15.577078653252821
2018-01-09,40.09689103531542,19.423048869438365,2.975,285.8333333333333,58.583333333333336,2.7083333333333335,-10.887500000000001,1002.4250000000001,1013.3625000000001,10.0,1495.9583333333333,-1.0625,-0.3875,-0.041666666666666664,0.5375,1.1458333333333333,-4.195833333333333,10.9375,850.3541666666666,5821558.0,6203989.142857143,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,15.53507112903257
2018-01-10,34.19315773539207,14.422149122807017,2.9333333333333336,302.9166666666667,54.208333333333336,1.9708333333333332,-15.2125,1007.2041666666668,1018.3041666666667,10.6,1860.625,-2.7916666666666665,-1.3499999999999999,-0.30833333333333335,0.5166666666666667,1.1458333333333333,-7.460416666666668,11.099999999999909,888.5555555555557,5582074.0,5969195.428571428,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,15.31194034170761
2018-01-11,33.07453033569449,21.209174311926606,2.6374999999999997,293.75,49.875,1.3333333333333333,-19.320833333333333,1015.3083333333334,1026.6791666666666,11.11111111111111,1828.125,-5.529166666666666,-3.0,-1.4083333333333332,0.18333333333333335,0.9916666666666667,-11.116666666666665,11.370833333333167,774.7656249999999,4465716.0,5963161.714285715,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,15.472740994232993
2018-01-12,27.579387186629525,16.941921072226357,1.7666666666666666,291.6666666666667,36.166666666666664,0.9625,-23.170833333333334,1020.3416666666667,1031.7583333333334,10.75,1981.9166666666667,-6.095833333333334,-3.5041666666666664,-2.1791666666666667,-0.22083333333333333,0.6958333333333333,-10.8475,11.416666666666742,515.2777777777778,5244764.0,5904964.857142857,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,15.490543495738784
2018-01-13,55.77901077996195,42.65942028985507,0.8458333333333333,70.83333333333333,63.791666666666664,2.841666666666667,-10.591666666666667,1020.975,1032.1208333333334,6.875,1082.75,-2.654166666666667,-1.6166666666666665,-1.0916666666666666,-0.17500000000000002,0.5875,-3.236666666666667,11.145833333333371,59.91319444444444,5338970.0,5870455.714285715,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,15.810541564803177
2018-01-14,72.19620853080569,57.2756059421423,1.0625,116.66666666666667,65.75,3.954166666666667,-5.8625,1018.5291666666667,1029.4666666666667,10.347826086956522,667.875,-1.2,-0.9333333333333332,-0.7875,-0.13333333333333333,0.5916666666666667,1.2495833333333333,10.9375,123.95833333333334,7352430.0,5204392.285714285,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,14.780680973810368
2018-01-15,79.24205457463884,56.76764705882353,1.4791666666666667,280.0,63.916666666666664,5.4125000000000005,-1.9124999999999999,1012.9083333333333,1023.5958333333333,20.470588235294116,639.5833333333334,1.5,0.3666666666666667,-0.075,-0.012500000000000002,0.5958333333333333,5.590416666666666,10.6875,414.1666666666667,2625234.0,6410101.142857143,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,16.473075629254023
